"Name","Description","VIVIENDA_VANCAN_2016","LONGITUDE","LATITUDE","geometry"
"1.1.81-10","",0.8824,"-71.5254747740054","-16.3658192838196",c(-71.5254747740054, -16.3658192838196)
"1.1.81-11","",0.8421,"-71.5259302497439","-16.3655739008614",c(-71.5259302497439, -16.3655739008614)
"1.1.81-3","",0.3636,"-71.5279962435223","-16.3683314511791",c(-71.5279962435223, -16.3683314511791)
"1.1.81-4","",0.5,"-71.528347464232","-16.367942234471",c(-71.528347464232, -16.367942234471)
"1.1.81-5","",0.6,"-71.5277479197032","-16.3674418707686",c(-71.5277479197032, -16.3674418707686)
"1.1.81-6","",0.7778,"-71.5272590883555","-16.3670986129973",c(-71.5272590883555, -16.3670986129973)
"1.1.81-7","",0.2857,"-71.5270150749329","-16.3667849019843",c(-71.5270150749329, -16.3667849019843)
"1.1.81-8","",0.5,"-71.5266139888386","-16.366551233708",c(-71.5266139888386, -16.366551233708)
"1.1.81-9","",0.7368,"-71.5263718601276","-16.3670676542948",c(-71.5263718601276, -16.3670676542948)
"1.1.82-1","",0.7692,"-71.5300167275751","-16.3701647955799",c(-71.5300167275751, -16.3701647955799)
"1.1.82-2","",0.6667,"-71.5301275929993","-16.3694421043586",c(-71.5301275929993, -16.3694421043586)
"1.1.82-4","",0.7692,"-71.5290842329115","-16.3685235292133",c(-71.5290842329115, -16.3685235292133)
"1.1.82-5","",0.7647,"-71.529073172492","-16.3691751993867",c(-71.529073172492, -16.3691751993867)
"1.1.83-1",NA,0.6316,"st(",NA,list()
"1.1.94-10","",1,"-71.5230316343393","-16.3526608950716",c(-71.5230316343393, -16.3526608950716)
"1.1.94-11","",0,"-71.5226737073291","-16.352323264068",c(-71.5226737073291, -16.352323264068)
"1.1.94-12","",0,"-71.5228017182999","-16.351803029606",c(-71.5228017182999, -16.351803029606)
"1.1.94-13","",1,"-71.524804028315","-16.3529360676279",c(-71.524804028315, -16.3529360676279)
"1.1.94-3","",1,"-71.5243040647846","-16.3547901638723",c(-71.5243040647846, -16.3547901638723)
"1.1.94-4","",1,"-71.5234792108428","-16.3549514424698",c(-71.5234792108428, -16.3549514424698)
"1.1.94-5","",1,"-71.5233844481715","-16.3544997668366",c(-71.5233844481715, -16.3544997668366)
"1.1.94-6","",1,"-71.5241244803517","-16.3543726181812",c(-71.5241244803517, -16.3543726181812)
"1.1.94-8","",1,"-71.523265848186","-16.3535874887615",c(-71.523265848186, -16.3535874887615)
"1.1.94-9","",1,"-71.523206307232","-16.3530389006332",c(-71.523206307232, -16.3530389006332)
"1.1.95-1","",0.5,"-71.5227619454933","-16.3554910886143",c(-71.5227619454933, -16.3554910886143)
"1.1.95-10","",0.6667,"-71.5212640018586","-16.3535614910291",c(-71.5212640018586, -16.3535614910291)
"1.1.95-11","",0.3333,"-71.5214189312052","-16.3539565282164",c(-71.5214189312052, -16.3539565282164)
"1.1.95-12","",1,"-71.5223041460429","-16.3537766985107",c(-71.5223041460429, -16.3537766985107)
"1.1.95-13","",0.4,"-71.5221908927774","-16.3533553772502",c(-71.5221908927774, -16.3533553772502)
"1.1.95-14","",0.75,"-71.522043190359","-16.3529509382579",c(-71.522043190359, -16.3529509382579)
"1.1.95-15","",1,"-71.5213190274273","-16.3531363755686",c(-71.5213190274273, -16.3531363755686)
"1.1.95-16","",0.5,"-71.5216052624617","-16.3526112837065",c(-71.5216052624617, -16.3526112837065)
"1.1.95-17","",0.75,"-71.521504116808","-16.3521797846366",c(-71.521504116808, -16.3521797846366)
"1.1.95-2","",1,"-71.5226219222747","-16.3550927347254",c(-71.5226219222747, -16.3550927347254)
"1.1.95-3","",1,"-71.5224801518957","-16.3546709193424",c(-71.5224801518957, -16.3546709193424)
"1.1.95-4","",1,"-71.522401945767","-16.3542235570604",c(-71.522401945767, -16.3542235570604)
"1.1.95-5","",0,"-71.5213112996316","-16.3544438569842",c(-71.5213112996316, -16.3544438569842)
"1.1.95-8","",1,"-71.5207707541115","-16.3540944987687",c(-71.5207707541115, -16.3540944987687)
"1.1.97-1","",1,"-71.5217014064363","-16.3516221379052",c(-71.5217014064363, -16.3516221379052)
"1.1.97-10","",0.8,"-71.5212242050259","-16.3493876507629",c(-71.5212242050259, -16.3493876507629)
"1.1.97-11","",0.4,"-71.5203052145657","-16.3495644026552",c(-71.5203052145657, -16.3495644026552)
"1.1.97-12","",0.3333,"-71.5194819538991","-16.349717135161",c(-71.5194819538991, -16.349717135161)
"1.1.97-14","",0.75,"-71.52020609001","-16.3491229263002",c(-71.52020609001, -16.3491229263002)
"1.1.97-2","",0.6667,"-71.521608280629","-16.3511574408081",c(-71.521608280629, -16.3511574408081)
"1.1.97-3","",0.5,"-71.5215027051106","-16.3507165854736",c(-71.5215027051106, -16.3507165854736)
"1.1.97-4","",1,"-71.5214107406933","-16.3502687202968",c(-71.5214107406933, -16.3502687202968)
"1.1.97-7","",0.75,"-71.5191998310631","-16.3502183580486",c(-71.5191998310631, -16.3502183580486)
"1.1.97-8","",0.8,"-71.5204070312565","-16.3500033969932",c(-71.5204070312565, -16.3500033969932)
"1.1.97-9","",1,"-71.5213088504552","-16.3498232716277",c(-71.5213088504552, -16.3498232716277)
"1.1.98-1","",0.75,"-71.5225517841283","-16.3514335902605",c(-71.5225517841283, -16.3514335902605)
"1.1.98-10","",0.3333,"-71.5230062253285","-16.3494937090012",c(-71.5230062253285, -16.3494937090012)
"1.1.98-13","",1,"-71.5219986573395","-16.3487646576482",c(-71.5219986573395, -16.3487646576482)
"1.1.98-14","",0.6667,"-71.5228195939195","-16.3485946039875",c(-71.5228195939195, -16.3485946039875)
"1.1.98-2","",0.3333,"-71.5232897697439","-16.3513029856969",c(-71.5232897697439, -16.3513029856969)
"1.1.98-3","",1,"-71.5232733904382","-16.3508313230878",c(-71.5232733904382, -16.3508313230878)
"1.1.98-4","",1,"-71.5224543727123","-16.3509937794168",c(-71.5224543727123, -16.3509937794168)
"1.1.98-5","",1,"-71.5223621626707","-16.3505513245559",c(-71.5223621626707, -16.3505513245559)
"1.1.98-6","",1,"-71.523179327307","-16.3503961263001",c(-71.523179327307, -16.3503961263001)
"1.1.98-7","",0.5,"-71.5230901647084","-16.3499492008049",c(-71.5230901647084, -16.3499492008049)
"1.1.98-8","",1,"-71.5222727843938","-16.3500933583741",c(-71.5222727843938, -16.3500933583741)
"1.1.98-9","",1,"-71.5221830364119","-16.3496534012268",c(-71.5221830364119, -16.3496534012268)
"1.1.99-1","",0.75,"-71.5218877874005","-16.3483199338686",c(-71.5218877874005, -16.3483199338686)
"1.1.99-11","",1,"-71.5216902166628","-16.3470065427938",c(-71.5216902166628, -16.3470065427938)
"1.1.99-17","",1,"-71.521577047122","-16.3461130453105",c(-71.521577047122, -16.3461130453105)
"1.1.99-18","",1,"-71.5215235455907","-16.3456652557386",c(-71.5215235455907, -16.3456652557386)
"1.1.99-19","",1,"-71.5224747047007","-16.3455610264437",c(-71.5224747047007, -16.3455610264437)
"1.1.99-2","",0,"-71.5227223727153","-16.3481604494077",c(-71.5227223727153, -16.3481604494077)
"1.1.99-22","",1,"-71.5224095244542","-16.3451133900526",c(-71.5224095244542, -16.3451133900526)
"1.1.99-23","",0.5,"-71.5214704715089","-16.3452206329214",c(-71.5214704715089, -16.3452206329214)
"1.1.99-24","",1,"-71.5214335415616","-16.3447678975267",c(-71.5214335415616, -16.3447678975267)
"1.1.99-26","",1,"-71.5228145080898","-16.3441796031484",c(-71.5228145080898, -16.3441796031484)
"1.1.99-27","",1,"-71.5222566909432","-16.3442182621768",c(-71.5222566909432, -16.3442182621768)
"1.1.99-28","",0,"-71.5214155729571","-16.3443076956667",c(-71.5214155729571, -16.3443076956667)
"1.1.99-29","",0,"-71.5214113001548","-16.3438541917411",c(-71.5214113001548, -16.3438541917411)
"1.1.99-30","",1,"-71.5222520266641","-16.3437693985314",c(-71.5222520266641, -16.3437693985314)
"1.1.99-4","",0.3333,"-71.5235136647946","-16.3475431924081",c(-71.5235136647946, -16.3475431924081)
"1.1.99-5","",0,"-71.522634971861","-16.3477266101169",c(-71.522634971861, -16.3477266101169)
"1.1.99-6","",0.5,"-71.5217974189629","-16.3478782701807",c(-71.5217974189629, -16.3478782701807)
"1.1.99-7","",0.5,"-71.5217228390527","-16.3474473799718",c(-71.5217228390527, -16.3474473799718)
