"Name","Description","VIVIENDA_VANCAN_2016","LONGITUDE","LATITUDE","geometry"
"1.1.26-14","",0.9375,"-71.5278701372455","-16.3760085866745",c(-71.5278701372455, -16.3760085866745)
"1.1.26-15","",0.75,"-71.5270299527718","-16.3757855172136",c(-71.5270299527718, -16.3757855172136)
"1.1.26-2","",0.4,"-71.5272509737219","-16.3773874276711",c(-71.5272509737219, -16.3773874276711)
"1.1.26-3","",0.8182,"-71.5266285469756","-16.3768546510677",c(-71.5266285469756, -16.3768546510677)
"1.1.26-4","",0.8333,"-71.5270013576201","-16.3767065626025",c(-71.5270013576201, -16.3767065626025)
"1.1.26-5","",0.6154,"-71.5274953761247","-16.3771143920108",c(-71.5274953761247, -16.3771143920108)
"1.1.26-6","",0.4167,"-71.5280590935373","-16.3775876322214",c(-71.5280590935373, -16.3775876322214)
"1.1.26-7","",0.3333,"-71.5284885146692","-16.3773878496188",c(-71.5284885146692, -16.3773878496188)
"1.1.26-8","",0.6667,"-71.5281479046158","-16.3772186430439",c(-71.5281479046158, -16.3772186430439)
"1.1.26-9","",1,"-71.527834421161","-16.3769948297651",c(-71.527834421161, -16.3769948297651)
"1.1.27-1","",0.8182,"-71.5258978078322","-16.3762834502455",c(-71.5258978078322, -16.3762834502455)
"1.1.27-10","",0.6667,"-71.5246857503545","-16.3750394004502",c(-71.5246857503545, -16.3750394004502)
"1.1.27-11","",0.6667,"-71.5243914017474","-16.3749550258971",c(-71.5243914017474, -16.3749550258971)
"1.1.27-12","",0.5455,"-71.5245687308889","-16.3745525163664",c(-71.5245687308889, -16.3745525163664)
"1.1.27-13","",0.7143,"-71.5236672778143","-16.374555405373",c(-71.5236672778143, -16.374555405373)
"1.1.27-14","",0.5,"-71.523123338129","-16.3747053759839",c(-71.523123338129, -16.3747053759839)
"1.1.27-2","",0.6667,"-71.5261774151594","-16.3759746455208",c(-71.5261774151594, -16.3759746455208)
"1.1.27-3","",0.6,"-71.5263647630391","-16.3756219739136",c(-71.5263647630391, -16.3756219739136)
"1.1.27-4","",0.6,"-71.5265111909796","-16.375305734334",c(-71.5265111909796, -16.375305734334)
"1.1.27-5","",0.7273,"-71.5255688752649","-16.3748602513797",c(-71.5255688752649, -16.3748602513797)
"1.1.27-6","",0.5,"-71.5254076269774","-16.3752013477016",c(-71.5254076269774, -16.3752013477016)
"1.1.27-7","",0.8333,"-71.5252694743219","-16.3755073165583",c(-71.5252694743219, -16.3755073165583)
"1.1.27-8","",0.5714,"-71.5250586877556","-16.3757901997415",c(-71.5250586877556, -16.3757901997415)
"1.1.27-9","",0.6923,"-71.5241244749137","-16.3752592769675",c(-71.5241244749137, -16.3752592769675)
"1.1.29-1","",0.8,"-71.5177653267879","-16.3726988439723",c(-71.5177653267879, -16.3726988439723)
"1.1.29-2","",0.3333,"-71.5172584996686","-16.3723607595324",c(-71.5172584996686, -16.3723607595324)
"1.1.29-3","",0.75,"-71.5168197332062","-16.3718553175489",c(-71.5168197332062, -16.3718553175489)
"1.1.29-4","",0.25,"-71.5165457888476","-16.372161993614",c(-71.5165457888476, -16.372161993614)
