type;ident;lat;long;y_proj;x_proj;new_seg;display;color;altitude;depth;temp;time;model;filename;ltime
TRACK;1.1.1-5;-16.38989371;-71.52653041;8186256.278;230138.9331;False; ; ;0; ; ; ; ; ; 
TRACK;1.1.1-5;-16.38989071;-71.52639132;8186256.796;230153.7933;False; ; ;0; ; ; ; ; ; 
TRACK;1.1.1-5;-16.3898433;-71.5261588;8186262.354;230178.5772;False; ; ;0; ; ; ; ; ; 
TRACK;1.1.1-5;-16.38973905;-71.52594207;8186274.183;230201.5959;False; ; ;0; ; ; ; ; ; 
TRACK;1.1.1-5;-16.38965015;-71.52568427;8186284.368;230229.0244;False; ; ;0; ; ; ; ; ; 
TRACK;1.1.1-5;-16.38957305;-71.52541844;8186293.257;230257.3267;False; ; ;0; ; ; ; ; ; 
TRACK;1.1.1-5;-16.38951791;-71.52523981;8186299.6;230276.3416;False; ; ;0; ; ; ; ; ; 
TRACK;1.1.1-5;-16.38951296;-71.52506018;8186300.386;230295.5318;False; ; ;0; ; ; ; ; ; 
TRACK;1.1.1-5;-16.38955756;-71.52485362;8186295.723;230317.6677;False; ; ;0; ; ; ; ; ; 
TRACK;1.1.1-5;-16.38958151;-71.52475927;8186293.198;230327.7845;False; ; ;0; ; ; ; ; ; 
TRACK;1.1.1-5;-16.38946847;-71.52458702;8186305.941;230346.0368;False; ; ;0; ; ; ; ; ; 
TRACK;1.1.1-5;-16.38901064;-71.52497221;8186356.115;230304.2412;False; ; ;0; ; ; ; ; ; 
TRACK;1.1.1-5;-16.38925193;-71.52548695;8186328.718;230249.5628;False; ; ;0; ; ; ; ; ; 
TRACK;1.1.1-5;-16.38937723;-71.52579622;8186314.434;230216.6841;False; ; ;0; ; ; ; ; ; 
TRACK;1.1.1-5;-16.38943854;-71.52599511;8186307.382;230195.5136;False; ; ;0; ; ; ; ; ; 
TRACK;1.1.1-5;-16.38960389;-71.52638539;8186288.557;230154.0318;False; ; ;0; ; ; ; ; ; 
TRACK;1.1.1-5;-16.38972363;-71.5264295;8186275.242;230149.4826;False; ; ;0; ; ; ; ; ; 
TRACK;1.1.1-5;-16.38983705;-71.52656109;8186262.51;230135.5764;False; ; ;0; ; ; ; ; ; 
TRACK;1.1.1-6; ; ;10000000;11015404.5; ; ; ; ; ; ; ; ; ; 
TRACK;1.1.1-6;-16.38951333;-71.52638853;8186298.578;230153.5714;False; ; ;0; ; ; ; ; ; 
TRACK;1.1.1-6;-16.38955693;-71.52637481;8186293.77;230155.0978;False; ; ;0; ; ; ; ; ; 
TRACK;1.1.1-6;-16.38945685;-71.52612497;8186305.182;230181.6605;False; ; ;0; ; ; ; ; ; 
TRACK;1.1.1-6;-16.38933244;-71.52582832;8186319.35;230213.1919;False; ; ;0; ; ; ; ; ; 
TRACK;1.1.1-6;-16.38925212;-71.52563228;8186328.504;230234.0322;False; ; ;0; ; ; ; ; ; 
TRACK;1.1.1-6;-16.38918746;-71.52546471;8186335.884;230251.8514;False; ; ;0; ; ; ; ; ; 
TRACK;1.1.1-6;-16.38914522;-71.52536225;8186340.697;230262.7432;False; ; ;0; ; ; ; ; ; 
TRACK;1.1.1-6;-16.3890369;-71.52511125;8186353.023;230289.4181;False; ; ;0; ; ; ; ; ; 
TRACK;1.1.1-6;-16.38898138;-71.5249824;8186359.341;230303.1114;False; ; ;0; ; ; ; ; ; 
TRACK;1.1.1-6;-16.38854057;-71.52534989;8186407.655;230263.2308;False; ; ;0; ; ; ; ; ; 
TRACK;1.1.1-6;-16.388961;-71.52593449;8186360.331;230201.3338;False; ; ;0; ; ; ; ; ; 
TRACK;1.1.1-6;-16.38915454;-71.52621264;8186338.535;230171.8749;False; ; ;0; ; ; ; ; ; 
TRACK;1.1.1-6;-16.38937228;-71.52650051;8186314.045;230141.4095;False; ; ;0; ; ; ; ; ; 
