id,gravity_model,bfca,sfca_2
0701010001,5763.90987374221,489.8530712706562,493.0909090909091
0701020001,2978.8238820823294,297.00731643811025,296.7
0701030001,5266.075508868653,263.2973094635898,263.3
0701040001,5791.375167440498,484.1623106617181,493.0909090909091
0701060001,6157.4009912225065,108.29400084307906,111.70689655172413
0701070001,7159.500816997389,114.80718969027843,111.70689655172413
1501010001,5286.268518392947,87.8895724341636,69.27155172413794
1501030001,4358.42094730318,175.72972964721808,175.72972972972974
1501050001,4899.194188755591,342.9939307327437,321.14814814814815
1501060001,6457.149605401837,109.40908403761465,109.40677966101696
1501060005,3384.853970003838,56.441311376493694,53.50980392156863
1501060006,3591.42474384123,63.943735039583075,64.03636363636363
1501060008,3230.1215025390993,63.02620446614874,63
1501060009,3693.6579452758438,73.36623032714422,51.37215541165587
1501060010,7787.911539682937,105.07500872162255,118.9635761589404
1501060011,4245.05009720038,59.71055316870427,36.393432007400556
1501060012,19679.39138389755,123.61759558703062,118.9635761589404
1501060013,10188.083068255808,131.07569755055113,131.91489361702128
1501060014,3651.821945138676,66.21692587438127,65.31481481481481
1501060022,5245.026121021774,93.66081057081541,93.66071428571429
1501060033,4413.076978143754,62.41491424696396,108.9399547130214
1501060034,6.03357738061234,0.23078723094965367,0.23076923076923078
1501060035,4801.238745139104,53.27465371221087,48.55697598961713
1501060037,19079.733161351818,128.4679372379344,118.9635761589404
1501060038,7385.731917583679,118.98031299839577,101.51072060848469
1501060039,9993.68194922895,124.92854553713838,104.31500781657112
1501060045,10217.896651162364,116.21819293153148,118.9635761589404
1501060055,10752.62558735756,129.73922700128605,144.06335218743206
1501060056,8921.931100710482,120.4236620756569,144.06335218743206
1501060057,10188.083068255808,131.07569755055113,131.91489361702128
1501060064,4801.238745139104,53.27465371221087,48.55697598961713
1501060065,19679.39138389755,123.61759558703062,118.9635761589404
1501060070,3403.5928786879836,65.43937192397651,65.42307692307692
1501060086,9.433246570234715e-5,2.4824841089951717e-6,0
1501060087,152.82471711285817,7.153421042697066,7.153846153846154
1501060088,2640.9402095438477,50.08921760428449,53.50980392156863
1501060089,460.0420707972801,12.105713941387197,12.105263157894736
1501060090,19679.39138389755,123.61759558703062,118.9635761589404
1501060091,1745.1031071439681,75.72062550757354,75.73913043478261
1501060092,3403.5928786879836,65.43937192397651,65.42307692307692
1501070001,5495,261.6666666666667,261.6666666666667
1501080001,165.0019692289714,165.00159559826173,165
1501090001,3234.0009834759603,119.77778618678184,119.77777777777777
1501090002,89.45476276006401,7.33481116435487,6.566666666666666
1501090003,82.36905822004292,6.650738458252993,6.566666666666666
1501090004,4468.441195346705,279.2638355639142,279.25
1501090005,74.14913675971796,5.739174003046377,6.566666666666666
1501090006,78.3058807400647,6.419317191916861,6.416666666666667
1501090007,152.82471711285817,7.153421042697066,7.153846153846154
1501090008,44.82106121435234,7.381447711581375,6.566666666666666
1501100001,6732.299098351018,203.98404903558276,204
1501110001,6660.709571414528,222.03633868914594,221.96666666666667
1501120001,1453.706895076952,76.96637077714034,77.01612903225806
1501130001,5035.505011531478,503.49960732860796,503.5
1501140001,5682.820136858657,231.36713668722118,231.36666666666667
1501150001,3967.9634777094307,297.44170648725384,321.14814814814815
1501160001,4996.879496713946,499.5905628641786,499.6
1501170001,2621.309465995533,71.85841522626366,71.87878787878788
1501180001,313.1414994097105,81.63157894736842,81.63157894736842
1501190001,21.31009902592814,14.047648506526397,14
1501190003,45.03019666040084,3.4375002667466656,3.4375
1501190010,67.00000107962401,2.5769230633928832,2.576923076923077
1501190012,50.577145387303595,21.14841633554322,14.691573926868044
1501200001,1015.0844863167139,323.3624497786275,406.625
1501210001,2305.998339697656,458.8418454555208,406.625
1501220001,671.3995474391871,167.29980542161118,167
1501230001,25.80736605359815,5.223606545536382,4.809523809523809
1501230002,1161,50.47826086956522,50.47826086956522
1501230004,92.34910785160467,6.641544013478106,6.212121212121213
1501230005,62.7676980591263,8.111500982861633,6.212121212121213
1501230007,15.05306598925263,4.404718024326981,4.809523809523809
1501230008,99.63021656210118,6.941341760444617,7.071428571428571
1501230009,50.493355160218705,2.8751161512428816,2.875
1501230010,53.78354047531188,3.3793103438942884,3.3793103448275863
1501230011,91.6979232154252,3.9999976099483447,4
1501230014,85.15029061669047,5.4733962376872825,5.473684210526316
1501230016,47.17954179232041,2.8378378427088293,2.8378378378378377
1501230017,26.17257180178303,4.321163828115058,4.333333333333333
1501230018,3215.0009892881044,133.95832387320374,133.95833333333334
1501230021,38.286966046471214,5.186273488893924,5.181818181818182
1501240001,52.161018078756975,3.782431440638775,0.8048608665022896
1501250001,908.2629114058498,98.69182366754355,98.69117647058823
1501260001,174.9567425855656,33.24002552334625,5.270051706196946
1501260009,52.68796895636456,21.293600012457595,21.5
1501260011,0,0,0
1501270001,104.91040694070679,65.27518231241955,18.019497306434708
1501270002,86.5410535286225,54.436891045532406,8.45093297276415
1501270003,151.75039074244285,2.673537976853888,2.6
1501280001,5294.8859713488955,81.97724469368927,105.55280172413794
1501290001,163.12912262917655,2.9273059044063516,2.6
1501290002,80.21870484783099,27.261331890823016,27
1501290004,146.5840399260266,36.46930832271618,10.584013435466968
1501290006,144.2368636679902,36.430541932008566,10.584013435466968
1501290008,116.1042393526787,2.309876456590248,2.6
1501290011,177.50557227915257,2.9595990827633822,2.7956989247311825
1501290012,177.50557227915257,2.9595990827633822,2.7956989247311825
1501290022,126.82652957027857,56.236109856601374,18.019497306434708
1501290023,80.21870484783099,27.261331890823016,27
1501290024,172.17555937461958,30.53895858888015,5.270051706196946
1501300001,6789.90565847468,396.3780363338341,394.70588235294116
1501310001,4468.441195346705,279.2638355639142,279.25
1501320001,5220.8162550314,117.19565511883812,117.70454545454545
1501330001,6590.3867321994585,462.825424287823,464.85714285714283
1501340001,5382.339301623951,365.2222494825683,365.22222222222223
1501350001,4772.649811477171,68.90283575891797,62.90625
1501360001,1686.6856491927017,834.4353768684306,840
1501370001,2654.717403111246,257.7147811577303,257.7142857142857
1501380001,77.50348157157994,2.4866826257233705,2.7956989247311825
1501380002,45.00003757050625,1.5000003692790567,1.5
1501390001,7031.108223615644,145.2859208172994,142.79591836734693
1501400001,4759.000022749446,339.9285730983539,339.92857142857144
1501410001,1070.0347899789035,266.6974718568147,267
1501420001,104.00008025046327,1128768620.8856845,Inf
1501430001,871.000382536497,974.9986392851011,871
